Order ID,Customer ID,Product ID,Product Name,Category,Sub-Category,Segment,Region,City,Country,Sales,Profit,Shipping Cost,Quantity,Order Date,Ship Date
2001,CUST1006,PROD5002,Notebook,Stationery,Paper,Corporate,West,Bangalore,India,56755,16575,303,5,2023-11-27,2023-11-30
2002,CUST1190,PROD5042,Monitor,Electronics,Displays,Home Office,North,Kolkata,India,71096,17503,353,4,2023-11-24,2023-11-29
2003,CUST1026,PROD5030,Printer,Electronics,Office Machines,Corporate,West,Mumbai,India,9709,1565,363,1,2024-01-12,2024-01-19
2004,CUST1172,PROD5030,Mouse,Electronics,Accessories,Home Office,West,Mumbai,India,48965,12889,416,7,2023-04-20,2023-04-25
2005,CUST1196,PROD5024,Notebook,Stationery,Paper,Corporate,East,Kolkata,India,333558,62102,331,9,2023-05-27,2023-06-02
2006,CUST1115,PROD5046,Monitor,Electronics,Displays,Corporate,South,Bangalore,India,335340,91960,61,9,2024-01-13,2024-01-15
2007,CUST1089,PROD5020,Notebook,Stationery,Paper,Corporate,East,Chennai,India,201496,37925,401,4,2023-10-05,2023-10-09
2008,CUST1040,PROD5001,Notebook,Stationery,Paper,Home Office,East,Chennai,India,21966,3035,244,7,2023-09-08,2023-09-11
2009,CUST1032,PROD5010,Pen,Stationery,Writing,Consumer,East,Mumbai,India,336920,89186,465,10,2023-03-22,2023-03-26
2010,CUST1124,PROD5034,Notebook,Stationery,Paper,Home Office,North,Kolkata,India,102075,12171,238,5,2023-05-08,2023-05-10
2011,CUST1141,PROD5049,Mouse,Electronics,Accessories,Home Office,South,Bangalore,India,276777,46654,362,9,2023-05-15,2023-05-20
2012,CUST1101,PROD5033,Mouse,Electronics,Accessories,Consumer,East,Bangalore,India,35921,9937,218,1,2024-01-10,2024-01-15
2013,CUST1109,PROD5010,Notebook,Stationery,Paper,Corporate,North,Delhi,India,648300,37771,141,10,2023-10-30,2023-11-02
2014,CUST1122,PROD5015,Printer,Electronics,Office Machines,Consumer,North,Kolkata,India,148240,33378,134,10,2023-10-31,2023-11-05
2015,CUST1003,PROD5008,Notebook,Stationery,Paper,Home Office,East,Kolkata,India,140310,29992,394,5,2023-03-10,2023-03-15
2016,CUST1132,PROD5032,Mouse,Electronics,Accessories,Consumer,West,Mumbai,India,322656,21758,381,8,2023-05-10,2023-05-17
2017,CUST1188,PROD5030,Headset,Electronics,Audio,Consumer,South,Mumbai,India,61445,3586,271,1,2023-02-08,2023-02-11
2018,CUST1093,PROD5036,Pen,Stationery,Writing,Home Office,South,Bangalore,India,181092,25712,362,4,2023-09-03,2023-09-05
2019,CUST1093,PROD5027,Notebook,Stationery,Paper,Home Office,South,Chennai,India,728210,41844,356,10,2023-04-11,2023-04-18
2020,CUST1057,PROD5016,Printer,Electronics,Office Machines,Corporate,East,Chennai,India,380070,112635,305,9,2024-01-11,2024-01-15
2021,CUST1091,PROD5015,Mouse,Electronics,Accessories,Consumer,North,Chennai,India,36684,3362,254,4,2023-04-18,2023-04-23
2022,CUST1104,PROD5009,Pen,Stationery,Writing,Consumer,East,Bangalore,India,296262,52770,419,6,2023-03-02,2023-03-08
2023,CUST1008,PROD5035,Printer,Electronics,Office Machines,Consumer,South,Kolkata,India,125328,31954,281,8,2023-05-16,2023-05-22
2024,CUST1028,PROD5042,Headset,Electronics,Audio,Corporate,East,Bangalore,India,28000,6112,258,2,2023-08-02,2023-08-08
2025,CUST1102,PROD5045,Pen,Stationery,Writing,Home Office,South,Mumbai,India,321678,93132,197,7,2023-07-24,2023-07-28
2026,CUST1165,PROD5031,Pen,Stationery,Writing,Consumer,South,Bangalore,India,196770,35427,397,7,2023-06-25,2023-06-30
2027,CUST1010,PROD5022,Laptop,Electronics,Computers,Consumer,East,Kolkata,India,359610,74393,412,6,2023-05-26,2023-06-01
2028,CUST1168,PROD5008,Monitor,Electronics,Displays,Consumer,North,Kolkata,India,107680,25339,81,10,2023-07-01,2023-07-05
2029,CUST1105,PROD5028,Pen,Stationery,Writing,Consumer,North,Kolkata,India,4736,1409,306,1,2023-03-21,2023-03-25
2030,CUST1116,PROD5008,Monitor,Electronics,Displays,Home Office,East,Mumbai,India,27909,2927,432,9,2023-08-10,2023-08-16
2031,CUST1164,PROD5012,Laptop,Electronics,Computers,Consumer,West,Kolkata,India,104792,27346,456,4,2023-12-11,2023-12-14
2032,CUST1198,PROD5039,Printer,Electronics,Office Machines,Corporate,North,Delhi,India,121680,23045,85,6,2023-09-13,2023-09-19
2033,CUST1183,PROD5030,Monitor,Electronics,Displays,Consumer,East,Kolkata,India,201299,25406,110,7,2023-04-08,2023-04-11
2034,CUST1134,PROD5037,Laptop,Electronics,Computers,Corporate,South,Bangalore,India,18603,5204,113,1,2023-11-20,2023-11-27
